epoch,accuracy,loss,val_accuracy,val_loss
0,0.49645429849624634,0.6932139992713928,0.6153846383094788,0.6818934679031372
1,0.5881091356277466,0.6741182208061218,0.5703335404396057,0.6777518391609192
2,0.5965539813041687,0.6685293316841125,0.6164604425430298,0.6569240093231201
3,0.6026026010513306,0.6682041883468628,0.610946774482727,0.6587167978286743
4,0.6064401865005493,0.6635497808456421,0.6126949787139893,0.659093976020813
5,0.6082031726837158,0.6609556674957275,0.6120225787162781,0.6584131717681885
6,0.6121286749839783,0.6622641682624817,0.6191501021385193,0.6543164253234863
7,0.609929084777832,0.6607559323310852,0.5997848510742188,0.6635664701461792
8,0.6125447750091553,0.65912926197052,0.608309805393219,0.6542369723320007
9,0.6136265993118286,0.6604211926460266,0.613987922668457,0.6561332941055298
10,0.6069835424423218,0.6603571176528931,0.5901902914047241,0.665698766708374
11,0.6064518094062805,0.6608709096908569,0.6237877011299133,0.6486707329750061
12,0.6044383645057678,0.6619601249694824,0.61654132604599,0.6550019383430481
