epoch,accuracy,loss,val_accuracy,val_loss
0,0.508549690246582,0.6934105753898621,0.6109622120857239,0.6828367114067078
1,0.5892816185951233,0.6730010509490967,0.5228617787361145,0.7016677260398865
2,0.6062566041946411,0.6640005707740784,0.5766541361808777,0.6829828023910522
3,0.6033176183700562,0.6637126207351685,0.6128295063972473,0.6539031267166138
4,0.6098718643188477,0.6630341410636902,0.5874125957489014,0.6677852869033813
5,0.6041416525840759,0.6612594127655029,0.614308774471283,0.6538978815078735
6,0.612987220287323,0.6579752564430237,0.6210328340530396,0.6501452326774597
7,0.6127804517745972,0.6577066779136658,0.6180985569953918,0.6553311944007874
8,0.6089184284210205,0.6654801964759827,0.6129465699195862,0.6524872183799744
9,0.6154704093933105,0.6568452715873718,0.6063743829727173,0.6649660468101501
10,0.6151338219642639,0.6560291647911072,0.6208983063697815,0.6524122357368469
11,0.6036920547485352,0.6640918254852295,0.6096019148826599,0.6539223194122314
12,0.6197517514228821,0.6567658185958862,0.6211673021316528,0.6501330137252808
13,0.6156200170516968,0.6540902256965637,0.6164604425430298,0.6584812998771667
14,0.611534059047699,0.6596364974975586,0.6194452047348022,0.653016209602356
15,0.6128460168838501,0.6578138470649719,0.6057873368263245,0.6577115654945374
