epoch,accuracy,loss,val_accuracy,val_loss
0,0.5016870498657227,0.6930939555168152,0.4719914197921753,0.689715564250946
1,0.5873655676841736,0.6738505959510803,0.6034157872200012,0.6640703678131104
2,0.6030796766281128,0.6663813591003418,0.6110812425613403,0.6596006751060486
3,0.6082940101623535,0.6619001030921936,0.6012641191482544,0.6644194722175598
4,0.605181872844696,0.6607314348220825,0.6148467063903809,0.6598725318908691
5,0.6091470718383789,0.6600703597068787,0.6161995530128479,0.6601923108100891
6,0.615047812461853,0.6596664786338806,0.6183412075042725,0.6543720960617065
7,0.6084992289543152,0.6590948104858398,0.6265465021133423,0.6525402665138245
8,0.6070743203163147,0.6614283323287964,0.616213321685791,0.6576524972915649
9,0.6170437932014465,0.6552404165267944,0.6025160551071167,0.6607630848884583
10,0.6142628192901611,0.6546385288238525,0.6114846467971802,0.6557544469833374
11,0.6117886304855347,0.6595176458358765,0.615571141242981,0.6534494757652283
12,0.6133893728256226,0.6576835513114929,0.6216433644294739,0.6502357125282288
13,0.61258864402771,0.6583123803138733,0.5956159234046936,0.6588137149810791
14,0.6098580360412598,0.659652590751648,0.6289189457893372,0.6423340439796448
15,0.6072123050689697,0.6611937880516052,0.6216689348220825,0.6513053178787231
16,0.610411524772644,0.6560996770858765,0.6226516366004944,0.6546884179115295
17,0.6108407974243164,0.6602591872215271,0.5867401957511902,0.6787660717964172
18,0.6112986207008362,0.6589844822883606,0.6058364510536194,0.6614332795143127
19,0.6098844408988953,0.6590482592582703,0.6219512224197388,0.6495625376701355
20,0.6152679324150085,0.6578378081321716,0.5889157652854919,0.6780707240104675
21,0.6101006865501404,0.6592010259628296,0.6122613549232483,0.6524367332458496
22,0.6135037541389465,0.656408429145813,0.6187466382980347,0.653117299079895
23,0.6120334267616272,0.659723162651062,0.5966238975524902,0.669741153717041
24,0.6120556592941284,0.6575800180435181,0.6212754249572754,0.6540509462356567
